"feature","kingdom","phylum","class","order","family","genus"
"Serratia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia"
"Trabulsiella","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Trabulsiella"
"Yersinia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Yersinia"
"Enterobacteriaceae (F)","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Coxiellaceae (F)","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae",""
"Actinobacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"Aggregatibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter"
"Haemophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus"
"Pasteurellaceae (F)","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",""
"Acinetobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Moraxellaceae (F)","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",""
"Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Pyramidobacter","Bacteria","Synergistetes","Synergistia","Synergistales","Dethiosulfovibrionaceae","Pyramidobacter"
"Anaeroplasmataceae (F)","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",""
"RF39 (O)","Bacteria","Tenericutes","Mollicutes","RF39","",""
"Akkermansia","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia"
